,population,avg_household_size,level_up_access_pop_percent,sex_total_men,race_hispanic_or_latino,race_american_indian_and_alaska_native,race_asian,race_black_or_african_american,race_native_hawaiian_and_other_pacific_islander,race_some_other_race,race_two_or_more,race_white_alone,hh_with_bb_internet_subscription,industry_agriculture_forestry_fishing_and_hunting_and_mining,industry_construction,industry_manufacturing,industry_wholesale_trade,industry_retail_trade,industry_transportation_and_warehousing_and_utilities,industry_information,industry_finance_and_insurance_real_estate_and_rental_and_leasi,industry_professional_scientific_management_administrative_and_,industry_educational_services_health_care_and_social_assistance,industry_arts_entertainment_recreation_accommodation_and_food_s,industry_other_services_except_public_administration,industry_public_administration,hh_with_income_less_than_10000,hh_with_income_10000-14999,hh_with_income_15000-24999,hh_with_income_25000-34999,hh_with_income_35000-49999,hh_with_income50000-74999,hh_with_income_75000-99999,hh_with_income_100000-149999,hh_with_income_150000_and_greater,hh_mean_income,family_structure_hh_with_one_or_more_under_18,family_structure_hh_with_none_under_18,employment_employed,employment_unemployed,employment_not_in_labor_force,edu_pop_over_25_less_than_9th_grade,edu_pop_over_25_9th-12th_no_diploma,edu_pop_over_25_high_school_graduate,edu_pop_over_25_some_college_no_degree,edu_pop_over_25_associates_degree,edu_pop_over_25_bachelors_degree,edu_pop_over_25_graduate_or_professional_degree,disability_under_18_with_disability,disability_18-64_with_disability,citizenship_native_born,age_under_9,age_10-14,age_15-19,age_20-24,age_25-34,age_35-44,age_45-54,age_55-59,age_60-84,age_85_and_over
population,1.0,0.15060420064504867,0.2423760494771502,-0.11125495927358,0.19204477743066373,-0.04798756554454947,0.4505596843609905,0.07172774857745344,0.04035086796374192,0.1672971828488695,0.08028087615592899,-0.23783240687706328,0.11386325006977721,0.003483054490233199,0.0034975362498663614,0.0034939192396814607,0.003500159811416979,0.00350171068576949,0.0034990453881258697,0.0035015697242046138,0.0035068933097995823,0.003516444833197834,0.0035049146614895698,0.003505732689921848,0.0035008029948786212,0.003497194825176445,0.003495175315073499,0.0034945714866850878,0.0034913236762362976,0.003492461569340691,0.003492203728477595,0.003493353827843984,0.0034980230450950417,0.003504518867628186,0.0035067662687682894,0.003844495076759007,0.06734648735588823,-0.13388782967019427,0.0035242143262397612,0.00350127770890544,0.0034668023965167038,0.02784168052244317,-0.11331910227342988,-0.3135303208795387,-0.09467171170650678,-0.060789840411850864,0.30154843913948004,0.3183331683160545,-0.06897252702840313,-0.17263510608672486,-0.4781430210698165,0.056808767491073685,0.0044690408309263,0.020038140842997605,0.08459042345398986,0.2787253965727666,0.21186879187254767,0.05386126517582646,-0.14203777920214933,-0.21933518499964605,-0.11095064996464045
avg_household_size,0.15060420064504867,1.0,0.031217383705440038,0.06743397182937276,0.45775338316457675,0.33136008222855934,0.17343007380475228,0.062203145694815526,0.010632372452082265,0.0866648957490193,0.05536466296575591,-0.5110790749133047,-0.5625465516040218,-0.03940262287523727,-0.03939741326375389,-0.03940557009278653,-0.039397855587430385,-0.03939995081863897,-0.039396776863279255,-0.03939771192475943,-0.03939816629352377,-0.039392857515195494,-0.03940934280059216,-0.03939803628537327,-0.03939894673589745,-0.0393953700595809,-0.03940243705047273,-0.03940421582816066,-0.03941118209801154,-0.039410704685364874,-0.0394143328146214,-0.039417497815815966,-0.03940711443575513,-0.03940154364117308,-0.03939550159337286,-0.03923013741975485,0.20939184990658527,-0.8689555034343329,-0.039424093032520556,-0.039389855568476774,-0.03942918090111417,0.4013024321026888,0.248533072052364,-0.13788538005032797,-0.05935913338317517,-0.2578312926719922,-0.05048320096570259,-0.031368050719034916,0.05913635995689732,-0.08367810991725336,-0.4135414891353011,0.573081244638469,0.5211055255990722,0.35942140401880984,0.1434341948245577,0.3072798090319627,0.35172353140381907,-0.0698549067544944,-0.40703359112078774,-0.571206218017724,-0.5010349363764224
level_up_access_pop_percent,0.2423760494771502,0.031217383705440038,1.0,-0.19757926526427214,0.02531969664395179,-0.07750363209812643,0.2635511714011132,-0.05293426481308075,0.008102726951156958,0.10856574095636098,0.06879490653510166,0.005544690406682302,0.36587827606362283,0.022057968378422478,0.022085285227921025,0.02209551586015586,0.02208806107637696,0.022095097392910237,0.022085092824273286,0.022088155466858602,0.022094530026847668,0.022103780437277065,0.02210335447915002,0.022096501822662748,0.022088724747732973,0.022083209362174325,0.022078878382465864,0.022078994910930565,0.02207541251484021,0.022078521915628507,0.02208052320238541,0.022085254321329194,0.022091045676860935,0.022097989560460267,0.02209393617520406,0.022477183854291025,0.2214348522463892,-0.08493222301394246,0.022139359932733676,0.02208702515018143,0.02202430708766452,-0.13675316873146015,-0.28900567330748267,-0.3275891712851422,-0.07878046768579654,0.18407263855624073,0.36178235001472664,0.38081674830898704,-0.002339945832474791,-0.21091560565963105,-0.22214264641763046,0.07006378624340391,-0.009165162290547101,0.07375407473382063,0.22133935204649804,0.24118962804932045,0.18178118340500632,0.059737541081034594,-0.16258946702656207,-0.2773793513529215,-0.08259993530234586
sex_total_men,-0.11125495927358,0.06743397182937276,-0.19757926526427214,1.0,0.14832859081510547,0.06994684140290529,-0.03982842111407003,-0.11632128316115653,0.032179544722048425,-0.06980743170878824,0.016170985649152873,-0.03995297604730793,-0.2580273168317691,0.008375276152252083,0.00835786481824613,0.00834524588118184,0.008356711047391495,0.008350210292814792,0.008358187538565594,0.008356596344231073,0.008352883433168166,0.008349347842967609,0.008342584284194767,0.00835471414151759,0.008354863805801353,0.008365428197906049,0.008352528525321888,0.008355201012320129,0.008353610782334866,0.00835461949365778,0.008353802483322223,0.008354050124365745,0.00835555004248738,0.008355065727187654,0.00835521555044346,0.008322307004652493,-0.2710582765395246,-0.20396732207961057,0.008325499357427484,0.008354445659370768,0.008401344777282667,0.08589062665712127,0.10179036488626575,0.13600715639184796,0.044724383008659385,-0.054275812374895406,-0.14202740838216843,-0.20121010967766817,-0.12079065359797904,-0.13530061499842477,-0.04746447904960392,-0.10979661768285212,-0.157003981241742,-0.10924630824862065,0.04027274921186649,0.26542921492493593,0.2126305324965359,0.013366954796890589,0.013713459644352267,-0.07704121310261124,-0.08699869078197123
race_hispanic_or_latino,0.19204477743066373,0.45775338316457675,0.02531969664395179,0.14832859081510547,1.0,-0.04004718632064066,0.13758282938617603,-0.1184718752758988,0.01686947497557174,0.0811470664039813,-0.07390980851120427,-0.6003010095184866,-0.2657985024433898,-0.0804342402492033,-0.08044953047699693,-0.08047014673546349,-0.08045037785569259,-0.08045347532305758,-0.08044998134453846,-0.08045058507222078,-0.08045125555286581,-0.08044779211938904,-0.08045937599698072,-0.08044718576329674,-0.08045028690036608,-0.08044874141538338,-0.08045313627912895,-0.08045318993570652,-0.08045540396454565,-0.08045590231239313,-0.08045725484267524,-0.08046053128582255,-0.08045621168371556,-0.08045341426218945,-0.08044913756245377,-0.08036827080029121,0.06456143910672096,-0.3978210503870309,-0.08046059917548389,-0.08044855796303615,-0.08046692861723244,0.5881372734639286,0.16467166630736685,-0.29877832344477867,0.05561158520751082,-0.2513115637523285,0.0014804780160055746,-0.023973334484494555,-0.010604978602453265,-0.15130542669023175,-0.6676180856422377,0.3139279856999102,0.22266936045148708,0.13874591048643978,0.08101638193554572,0.2562411640914582,0.14077684294114698,-0.22467518432426634,-0.28741957838923476,-0.2536204373734642,-0.17081357564366811
race_american_indian_and_alaska_native,-0.04798756554454947,0.33136008222855934,-0.07750363209812643,0.06994684140290529,-0.04004718632064066,1.0,-0.009507209784268358,-0.10130141184849657,0.01990555864712249,-0.04890796631616957,0.253120720913081,-0.288988530428071,-0.26318805972733134,-0.02994120767437394,-0.029949115407365078,-0.029959136692597362,-0.029948013522750172,-0.029951234987732292,-0.029946571331948186,-0.02994665513738718,-0.029949443272805062,-0.02995184068160297,-0.029946468579087927,-0.029944583288171695,-0.029948583803819602,-0.029937406128062304,-0.029944111731013245,-0.029946158881390395,-0.02994780550297985,-0.029948229962965464,-0.029949785645867616,-0.02995120686677608,-0.029949987112088555,-0.029950854981688608,-0.029947634432382825,-0.03002223103783735,0.039616534322126376,-0.23656961542977947,-0.0299696761607785,-0.029937727755163714,-0.029952989437300806,-0.034373497282688674,0.07004271490794783,0.02634007432065096,0.1098831013612812,-0.009302434811767518,-0.061999843905908944,-0.08471983000283155,0.005419812627011764,-0.0023187326529522036,0.06685901627360817,0.2853730622723364,0.21857475143350164,0.08723113625500803,0.021593471511793163,0.057937702140563915,-0.07515438646308033,-0.12757327968096163,-0.07378350435873966,-0.13154749663729365,-0.14474928896175046
race_asian,0.4505596843609905,0.17343007380475228,0.2635511714011132,-0.03982842111407003,0.13758282938617603,-0.009507209784268358,1.0,0.012230953057123838,0.41986844616840313,0.17928993055318687,0.348603018304037,-0.2818648721210967,0.1477964700533448,0.0057263113345238405,0.005739737306682053,0.005740012323724702,0.0057427699526992546,0.00574462984475079,0.005742449021353225,0.005745024662351519,0.005750264773667957,0.005763431077500077,0.005751709852074254,0.005752589612697723,0.005743632821003901,0.005746925214344269,0.005735859261541014,0.005735310314979264,0.005730118631852254,0.0057316203562131855,0.0057312025269778055,0.005734804039589373,0.0057414424275396185,0.005752434183232221,0.0057540853292723,0.006276651896446134,0.029681415349520922,-0.16562245432645328,0.005787668749532395,0.005742919995061971,0.005692857485617634,-0.02739107541623906,-0.22747789945646468,-0.4257602071304499,-0.11994907713831392,-0.05109370924122882,0.43411831215966445,0.4876768630005937,-0.1537623537773247,-0.2562140098496342,-0.6093516286754223,0.026077785317606413,-0.06298390752617172,0.06980570703306421,0.1905067293926877,0.3192424944531832,0.23945473242135806,0.07565259114384855,-0.12247645975478116,-0.2841183045500914,-0.15251266451077972
race_black_or_african_american,0.07172774857745344,0.062203145694815526,-0.05293426481308075,-0.11632128316115653,-0.1184718752758988,-0.10130141184849657,0.012230953057123838,1.0,-0.03446461205433058,0.10596884138663984,-0.0933846526230999,-0.594217166746395,-0.36509663581879215,0.010591556247869508,0.010604538275033932,0.010608936505258744,0.010609688083845291,0.010607337790145336,0.01060943665520759,0.010610311456746532,0.010609149604798888,0.010611839021209536,0.010602762515368338,0.010606525810261393,0.01060964106299883,0.01061457298802855,0.010626156154375907,0.010617546499189582,0.01061713854931162,0.010611651659860985,0.010606695952749512,0.010598674785867504,0.010601135389117002,0.010600466955698142,0.01060884805678476,0.010403111195486951,-0.02166067602946448,-0.14970154679361716,0.0105586197639037,0.010621984957681282,0.010652135166428389,0.1255080989987364,0.45188746160995513,0.01684971833307168,-0.16838622644297985,-0.2318955941051903,-0.15176109882742875,-0.015540948370820123,0.05600442605141156,0.13524148785065626,0.01580445717983434,0.008192314054978254,-0.024076273641286897,0.042608135595110765,0.13513514035292054,0.25462799570606215,0.1616989969686686,0.007732558352044005,-0.14407984162130735,-0.16507084616503664,-0.20482541248190697
race_native_hawaiian_and_other_pacific_islander,0.04035086796374192,0.010632372452082265,0.008102726951156958,0.032179544722048425,0.01686947497557174,0.01990555864712249,0.41986844616840313,-0.03446461205433058,1.0,0.001607326812733274,0.4074369481331109,-0.11598733469333976,0.022780881003358223,0.0022124458315875505,0.002214589618485648,0.0022098316374573367,0.0022139706156654795,0.002215137527040876,0.0022163810018985593,0.002214441792936936,0.002215643208977354,0.0022155804088308377,0.0022121912716076483,0.0022221965376714686,0.002215047627794279,0.002225699974200526,0.002213929202871639,0.002212459065264575,0.0022126101279699812,0.002212173568798645,0.0022125648618740897,0.00221780816011315,0.002214184407665146,0.0022195262079600197,0.002215586021273759,0.0022846503222914948,-0.09480043340143243,0.04755283347276441,0.0022291177241010674,0.0022138661478339192,0.0022024308594629336,-0.01807353467066434,-0.040025801326160036,-0.06282345660044394,0.026017124130712145,0.05613842012191784,0.05709388240819114,0.02058738657188282,-0.06339306082807862,0.0008420198263220087,-0.0919639133746213,-0.012120882690960927,-0.08173620161043021,-0.05117091069539251,-0.019853081074851436,0.056165007385990395,0.030419585292621062,0.01228471896750337,0.1781462511897231,-0.03226668049708536,-0.008015189323031448
race_some_other_race,0.1672971828488695,0.0866648957490193,0.10856574095636098,-0.06980743170878824,0.0811470664039813,-0.04890796631616957,0.17928993055318687,0.10596884138663984,0.001607326812733274,1.0,0.05253179853167007,-0.154524632165896,0.03716037952754543,-0.027191718311649585,-0.027180170784070576,-0.027186074914048786,-0.02717979356782648,-0.02717815246100624,-0.027179987921133016,-0.027178468443574494,-0.02717556390253581,-0.027170137634523906,-0.027176850306986203,-0.027175096151618342,-0.027178149033794452,-0.027178339177515467,-0.02717985776789561,-0.027181098345684315,-0.027183126592005752,-0.027183300218412004,-0.02718297646707096,-0.0271840554252967,-0.027181299921962918,-0.02717769353312949,-0.02717526969593109,-0.02701112743001765,-0.01288108248963516,-0.07268854257080377,-0.027173996484574074,-0.027177364142314194,-0.02718962915715237,-0.018880558581549838,-0.03799709737879058,-0.17645501452557338,-0.028730398319849026,-0.05951745872729931,0.14955750579427188,0.20561570800237206,-0.0435894942100991,-0.0679948997126416,-0.21050588200791784,0.025162609849446484,-0.02235316443976303,0.023115335669563697,0.06764416923545091,0.15472366528693676,0.055813879312546714,0.039769468627616246,-0.09152235265294893,-0.1012003697338939,-0.09736926575203948
race_two_or_more,0.08028087615592899,0.05536466296575591,0.06879490653510166,0.016170985649152873,-0.07390980851120427,0.253120720913081,0.348603018304037,-0.0933846526230999,0.4074369481331109,0.05253179853167007,1.0,-0.12039375132575597,0.05996491012137988,0.014749626557398789,0.01475721715284978,0.014747950407121443,0.014757348805486833,0.014759316142625123,0.0147597570286468,0.014759181997523109,0.01476013606244036,0.01476491280427401,0.014760012686988316,0.014767465435355816,0.014758867376575198,0.01476765023425231,0.014755443561935162,0.014755688012808032,0.014754219776721261,0.014754851235333846,0.014754920172227171,0.014757461510711957,0.014758701504858952,0.014762367075170141,0.014761702039092831,0.014908957902442253,0.014749063110347571,-0.07129177922221346,0.014768130319202887,0.01476099028330979,0.014740667203160838,-0.17170605164889194,-0.11548779530492749,-0.15315809562735547,0.1637291849190647,-0.03128547539868617,0.16492177470694408,0.14895039972116664,0.019299858850646195,0.03945412296197581,-0.07741479073105147,0.04221402767198127,-0.03262129767706596,-0.0015886036613385565,0.0857205930360931,0.16043820200839723,0.044559461521334796,-0.011686383290374894,-0.024375755416177574,-0.10099460322676017,-0.1390621299186003
race_white_alone,-0.23783240687706328,-0.5110790749133047,0.005544690406682302,-0.03995297604730793,-0.6003010095184866,-0.288988530428071,-0.2818648721210967,-0.594217166746395,-0.11598733469333976,-0.154524632165896,-0.12039375132575597,1.0,0.5153795833746222,0.05683674359659594,0.05683812896295534,0.056853757227434534,0.05683418410898798,0.05683871237658185,0.056833333932562284,0.05683288130507767,0.056834331503663814,0.05682862309793709,0.056843321025710186,0.05683049575609733,0.056834068714084474,0.05682383050679594,0.05682391643734185,0.056831011438709,0.056834292763868005,0.056838489429454554,0.05684359100062768,0.05685127504010796,0.05684514431767446,0.05684199740378039,0.05683176503628733,0.05686307473606878,-0.04575298985551088,0.49622999375040044,0.0568782687125347,0.056819946487482016,0.05682562937018193,-0.46202620437365943,-0.4208481716869457,0.258809918317183,0.04476764238169656,0.35124692539672475,0.053607469540417646,-0.024107875983376076,-0.012929025822361651,0.04037620508260161,0.5179430316093558,-0.33371633170103004,-0.202038984562536,-0.16631538369848095,-0.19445809723467963,-0.44131351787972506,-0.2234915786286217,0.1853587297620189,0.34278577187344245,0.39116040279014636,0.352008316546349
hh_with_bb_internet_subscription,0.11386325006977721,-0.5625465516040218,0.36587827606362283,-0.2580273168317691,-0.2657985024433898,-0.26318805972733134,0.1477964700533448,-0.36509663581879215,0.022780881003358223,0.03716037952754543,0.05996491012137988,0.5153795833746222,1.0,0.04554073930571028,0.045547613724122415,0.04554792055077065,0.04554608563145893,0.04555353006510857,0.04554402696695715,0.04554575637431281,0.04555385846235282,0.04555968661167101,0.045567400857979126,0.04555568960300983,0.04554777358650385,0.045540160164484526,0.04552923468309756,0.045535506392290134,0.045535264660269074,0.04554250750026993,0.04554936362701561,0.04556159341666358,0.04556025099019647,0.045566409881119437,0.04555309564044391,0.046031254391766786,0.09636460820838413,0.5654723498173716,0.045646681687059674,0.04553399856100727,0.0454674860052451,-0.5619038136089305,-0.7091154517242614,-0.3514730554817453,0.18520180789332347,0.4222794920095528,0.5782929063688631,0.4553656828591446,-0.13790064043118874,-0.3019194678658053,0.02375842055745203,-0.26252245688766723,-0.23502957422511028,-0.20049257007308782,-0.0862122988393114,-0.16138768250525262,-0.13634001009197455,0.0933164257260526,0.25174041390912655,0.23735740994941573,0.28887347546840597
industry_agriculture_forestry_fishing_and_hunting_and_mining,0.003483054490233199,-0.03940262287523727,0.022057968378422478,0.008375276152252083,-0.0804342402492033,-0.02994120767437394,0.0057263113345238405,0.010591556247869508,0.0022124458315875505,-0.027191718311649585,0.014749626557398789,0.05683674359659594,0.04554073930571028,1.0,0.9999999962378726,0.9999999912295925,0.9999999964985982,0.9999999954365532,0.9999999964958294,0.9999999963233922,0.9999999956782811,0.9999999941864822,0.9999999939590841,0.9999999946419723,0.999999996285177,0.9999999959775602,0.9999999956763724,0.9999999962736167,0.999999996068753,0.9999999964573315,0.9999999964445615,0.9999999963915526,0.9999999963359104,0.9999999957408755,0.9999999959550341,0.9999994422031668,0.03906362383075299,0.013879613952487244,0.9999999855366629,0.9999999953941209,0.9999999793574731,0.001024072061309728,-0.0031603106506304258,0.00739280474692719,-0.028048008069587325,0.001396510281994045,0.004847962468398463,0.006533823918484513,0.026357354228047445,-0.0022117912761539975,-0.003440116675683992,-0.009170070844353128,0.0004928172194736966,-0.003112951245440794,0.002488945370110338,0.001717324147939455,0.005209459225435447,0.00423984538459628,0.00496335956970697,-0.0019011653104858538,0.003867490835369172
industry_construction,0.0034975362498663614,-0.03939741326375389,0.022085285227921025,0.00835786481824613,-0.08044953047699693,-0.029949115407365078,0.005739737306682053,0.010604538275033932,0.002214589618485648,-0.027180170784070576,0.01475721715284978,0.05683812896295534,0.045547613724122415,0.9999999962378726,1.0,0.9999999961324658,0.9999999995596692,0.9999999993278297,0.999999999423245,0.9999999996143979,0.9999999994242321,0.9999999988628728,0.9999999977943496,0.9999999987679459,0.9999999996120974,0.9999999990617375,0.9999999988099229,0.9999999992487959,0.999999998881632,0.9999999991881793,0.9999999991852497,0.9999999991948079,0.9999999994712808,0.9999999992092046,0.9999999994695872,0.9999994598755526,0.03906824336221061,0.013871204807192394,0.9999999885149993,0.9999999990667758,0.9999999832630312,0.0010090989207691672,-0.0031586020526942946,0.007386395377476661,-0.028064380672844058,0.0013888749427758739,0.0048590133543572785,0.006560165455297176,0.026367077818291135,-0.002200216504334229,-0.0034407983408373095,-0.009187175934373596,0.00048284274059034907,-0.003107494699311726,0.0025004574648760996,0.0017279757730059545,0.00522963471692522,0.004266414489232888,0.004953879193485228,-0.0019106753129472444,0.00384524226046178
industry_manufacturing,0.0034939192396814607,-0.03940557009278653,0.02209551586015586,0.00834524588118184,-0.08047014673546349,-0.029959136692597362,0.005740012323724702,0.010608936505258744,0.0022098316374573367,-0.027186074914048786,0.014747950407121443,0.056853757227434534,0.04554792055077065,0.9999999912295925,0.9999999961324658,1.0,0.9999999967028416,0.9999999964831752,0.9999999963387626,0.9999999965586227,0.9999999962441829,0.9999999953756997,0.999999994868646,0.9999999949289731,0.9999999965671679,0.9999999951398613,0.9999999958230049,0.9999999963752093,0.9999999960970029,0.9999999964161935,0.999999996585581,0.9999999967032277,0.9999999967200157,0.9999999960183739,0.999999996144444,0.9999994451220922,0.03908758494936784,0.01387061094630541,0.9999999870593177,0.9999999960743438,0.9999999785283535,0.0010091533245250607,-0.0031520675056321114,0.0074126458672650174,-0.028083937719055114,0.0014000383757226762,0.004839877210850948,0.006546793251962567,0.02637776933149612,-0.0021929129227843953,-0.003428807474097656,-0.009184451174557864,0.0004895534167386536,-0.0031014474344451728,0.002503564947645761,0.0017230107118959795,0.005234458084017346,0.004284650905732318,0.004951908682832675,-0.0019208493541069869,0.0038458000438627606
industry_wholesale_trade,0.003500159811416979,-0.039397855587430385,0.02208806107637696,0.008356711047391495,-0.08045037785569259,-0.029948013522750172,0.0057427699526992546,0.010609688083845291,0.0022139706156654795,-0.02717979356782648,0.014757348805486833,0.05683418410898798,0.04554608563145893,0.9999999964985982,0.9999999995596692,0.9999999967028416,1.0,0.999999999566383,0.9999999996486584,0.9999999998697165,0.9999999996891201,0.9999999990160592,0.9999999982677237,0.9999999988164096,0.9999999998254969,0.999999999228337,0.9999999992092335,0.9999999995553539,0.9999999991826275,0.999999999456043,0.9999999994120506,0.9999999993474067,0.9999999996350081,0.9999999993487351,0.9999999996871183,0.9999994579203308,0.03907090636617905,0.013868828268294766,0.9999999883282188,0.9999999994048749,0.9999999835974355,0.0010098124796216682,-0.0031563764043037734,0.007385663847077805,-0.02806628298508201,0.0013909712226991436,0.004858013494785437,0.006560673040635182,0.026367957612763792,-0.0021996596830189414,-0.003442095362965065,-0.00918309387442058,0.0004838071212755176,-0.0031046474412486057,0.00250535170999647,0.0017323125104606448,0.005230735724733423,0.004262289458998726,0.0049499977172547715,-0.0019161027315743378,0.0038466783236756363
industry_retail_trade,0.00350171068576949,-0.03939995081863897,0.022095097392910237,0.008350210292814792,-0.08045347532305758,-0.029951234987732292,0.00574462984475079,0.010607337790145336,0.002215137527040876,-0.02717815246100624,0.014759316142625123,0.05683871237658185,0.04555353006510857,0.9999999954365532,0.9999999993278297,0.9999999964831752,0.999999999566383,1.0,0.9999999993416955,0.9999999995903521,0.9999999995083474,0.9999999989775626,0.9999999982665914,0.9999999989147929,0.9999999995768909,0.9999999988737034,0.9999999988057525,0.99999999917661,0.9999999987988756,0.9999999991303197,0.9999999991543174,0.9999999991492419,0.9999999994487893,0.9999999991580898,0.9999999994498388,0.9999994609043752,0.03907147192175559,0.013871535448815708,0.9999999892509774,0.999999999112423,0.9999999822894124,0.001003900897788911,-0.0031624296241573964,0.007382465975541092,-0.028066519882053033,0.0013922641136393046,0.004864450704642508,0.006566878511005387,0.026367982080857628,-0.0022000991768484452,-0.0034412133139535214,-0.009186522173716702,0.000481314662048914,-0.0031030578529910673,0.002508907420357208,0.0017331800353916796,0.005230861407731119,0.00426517243293857,0.004949110374770208,-0.0019169314893175968,0.003845163804406076
industry_transportation_and_warehousing_and_utilities,0.0034990453881258697,-0.039396776863279255,0.022085092824273286,0.008358187538565594,-0.08044998134453846,-0.029946571331948186,0.005742449021353225,0.01060943665520759,0.0022163810018985593,-0.027179987921133016,0.0147597570286468,0.056833333932562284,0.04554402696695715,0.9999999964958294,0.999999999423245,0.9999999963387626,0.9999999996486584,0.9999999993416955,1.0,0.9999999996717995,0.9999999994131725,0.9999999987356428,0.999999997806915,0.9999999986829206,0.9999999996254846,0.999999999180089,0.9999999990225947,0.9999999993628639,0.9999999990287275,0.9999999992758004,0.9999999992429418,0.9999999991653422,0.9999999994701779,0.9999999991552531,0.9999999994545145,0.9999994561824699,0.039070293883421606,0.013868447020064938,0.999999988187981,0.9999999992540646,0.9999999833420881,0.0010106400811032005,-0.003155479536806568,0.007389766028509139,-0.028063942826929443,0.0013879820113649466,0.004854752600568597,0.006556443234845815,0.026367714728360376,-0.0021978718619021145,-0.003441001111455352,-0.009183644867261169,0.00048499977665794104,-0.0031058562938046084,0.0025023789266333664,0.0017318605911259778,0.005231521249902424,0.004265769863529408,0.004952529722488925,-0.0019156879560041514,0.0038443700138487834
